epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.329,1.58241,3.174,1.90106,0.35018,0.4995,0.37273,0.19149,1.61249,2.3313,1.82045,0.000331588,0.000331588,0.0671728
2,206.375,1.45835,1.84837,1.7644,0.40374,0.49131,0.40176,0.20305,1.56686,2.15385,1.86999,0.000599094,0.000599094,0.0341069
3,289.563,1.42895,1.63555,1.7476,0.55883,0.57538,0.56569,0.30581,1.53959,1.75183,1.84697,0.0008006,0.0008006,0.00097512
4,372.534,1.39465,1.48763,1.69746,0.62491,0.52368,0.58391,0.30002,1.63505,1.74688,1.92093,0.000703,0.000703,0.000703
5,455.149,1.33937,1.35897,1.66236,0.6628,0.62326,0.66821,0.35629,1.49739,1.51305,1.79018,0.000604,0.000604,0.000604
6,538.137,1.26314,1.14483,1.59986,0.59535,0.65234,0.66101,0.38129,1.43987,1.46963,1.7902,0.000505,0.000505,0.000505
7,685.367,1.17237,0.9803,1.51474,0.75176,0.73122,0.76719,0.46102,1.37564,1.20126,1.65917,0.000406,0.000406,0.000406
8,771.272,1.08354,0.8214,1.43073,0.76517,0.74876,0.8001,0.50667,1.27117,1.02849,1.61176,0.000307,0.000307,0.000307
9,857.034,0.98506,0.69872,1.35933,0.78977,0.76069,0.80901,0.51786,1.25387,1.01494,1.57821,0.000208,0.000208,0.000208
10,942.828,0.89653,0.58421,1.27572,0.84132,0.77343,0.84402,0.55775,1.1715,0.91436,1.49565,0.000109,0.000109,0.000109
