epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4181.07,0.91067,0.78313,1.2791,0.82134,0.69279,0.78635,0.49235,1.37866,1.06975,1.74768,0.000848969,0.000848969,0.000848969
43,4265.32,0.9099,0.7803,1.27593,0.83532,0.75518,0.82832,0.53168,1.29535,0.95015,1.69319,0.000834822,0.000834822,0.000834822
44,4348.67,0.91171,0.77015,1.27376,0.80932,0.70499,0.77786,0.485,1.39549,1.13282,1.78986,0.000820675,0.000820675,0.000820675
45,4433.2,0.88426,0.76582,1.2675,0.85756,0.70949,0.80706,0.52123,1.29113,1.01839,1.67969,0.000806528,0.000806528,0.000806528
46,4525.18,0.87917,0.73608,1.25968,0.81573,0.6572,0.76989,0.49295,1.37977,1.13562,1.79365,0.00079238,0.00079238,0.00079238
47,4608.74,0.87965,0.73705,1.26218,0.79876,0.78493,0.83942,0.5412,1.29053,0.93083,1.71618,0.000778233,0.000778233,0.000778233
48,4692.09,0.8619,0.72106,1.24611,0.84406,0.73017,0.81315,0.50681,1.3283,0.99489,1.7958,0.000764086,0.000764086,0.000764086
49,4775.12,0.85342,0.71063,1.23818,0.84756,0.76556,0.81664,0.51945,1.32136,0.9721,1.75595,0.000749939,0.000749939,0.000749939
50,4858.15,0.83647,0.69243,1.23064,0.83359,0.70399,0.79099,0.51424,1.32015,1.06723,1.73934,0.000735792,0.000735792,0.000735792
51,4941.17,0.82786,0.69624,1.22668,0.80146,0.7422,0.7975,0.50524,1.34819,1.03522,1.79114,0.000721645,0.000721645,0.000721645
52,5089.09,0.81889,0.67706,1.21424,0.81142,0.77998,0.81853,0.53246,1.28442,0.95568,1.74137,0.000707498,0.000707498,0.000707498
53,5173.3,0.81456,0.6694,1.21151,0.84136,0.71837,0.81516,0.53348,1.29618,0.94626,1.72381,0.000693351,0.000693351,0.000693351
54,5257.3,0.80568,0.64781,1.19882,0.82659,0.7749,0.83823,0.56319,1.23566,0.89177,1.65241,0.000679204,0.000679204,0.000679204
55,5343.6,0.7932,0.65318,1.19528,0.84638,0.75383,0.82155,0.54692,1.28573,0.91039,1.73815,0.000665057,0.000665057,0.000665057
56,5427.97,0.7983,0.64061,1.19494,0.84206,0.73918,0.80502,0.53625,1.30241,0.94955,1.75098,0.000650909,0.000650909,0.000650909
57,5511.84,0.78252,0.63469,1.18161,0.86108,0.75259,0.80775,0.52196,1.29227,0.95235,1.73615,0.000636762,0.000636762,0.000636762
58,5595.15,0.7709,0.61665,1.18301,0.85871,0.75411,0.81438,0.52579,1.28432,0.98452,1.71209,0.000622615,0.000622615,0.000622615
